vehicle_id,start_time,lat,lon,charge_time_hr
008dda45db57cb6daa679a86ce8c8149ddc05446d545b19f3b6e201071e93b3a0d30a0a46204415c1d145a47e256bab70c8b0aebeb37ffefc985fdfc288d38d6,2023-12-26T07:15:00.000,41.899602111,-87.633308037,4.376643764032791
008dda45db57cb6daa679a86ce8c8149ddc05446d545b19f3b6e201071e93b3a0d30a0a46204415c1d145a47e256bab70c8b0aebeb37ffefc985fdfc288d38d6,2023-12-29T12:00:00.000,41.938666196,-87.711210593,4.393544395481927
00f4b381570486f8575cbaa57ed41f116ed2e1f9d85f73bb2f6dba13a72541761d2ad4cb1727990d97795a2b0bdd99f0e4a8826245c81dac443cebb1c19b26fb,2023-12-27T22:45:00.000,41.79259236,-87.769615453,4.713388106568982
00f4ffdbb88c4f0d1803d2b2b35f3bf2fed11c109a80786ccf59d71eeb6decafc2381b6ca429e22770197ba9308c7469630c76abb91df07f7aedb37abb30d275,2023-12-30T14:30:00.000,41.892507781,-87.626214906,4.39001293690164
00fbd9a7e5fce4db91d74af6c82fc74f07d246b40435a71356a60c170ef136ab5f853dce0cd6a6443dc01eb817d4048e22537c521d508533b79574bad77e9c81,2023-12-27T10:30:00.000,41.874005383,-87.66351755,4.365368436271198
00fbd9a7e5fce4db91d74af6c82fc74f07d246b40435a71356a60c170ef136ab5f853dce0cd6a6443dc01eb817d4048e22537c521d508533b79574bad77e9c81,2023-12-30T14:15:00.000,41.884987192,-87.620992913,4.5908908136214786
0156573f07d7ebbb61b0edfd4d783d2762fd0cc74d8221374dfeb933e85efc3f1469c1a56f15bd54ab0cfc7a69f5fa65edd9399748b8a1a56870e7d8c96f6a9f,2023-12-30T11:00:00.000,41.980264315,-87.913624596,4.798706594967574
01728d23850d9be83653aa92595ad2a4308e6c5833cc21745df1edb09b7f57a4799a58cb5c86ce3cde63d1c20f33a743f8c7591fabf921f6c62138c813d4d79f,2023-12-24T09:00:00.000,41.812948939,-87.617859676,4.580570097085322
01728d23850d9be83653aa92595ad2a4308e6c5833cc21745df1edb09b7f57a4799a58cb5c86ce3cde63d1c20f33a743f8c7591fabf921f6c62138c813d4d79f,2023-12-26T14:00:00.000,41.9867118,-87.663416405,4.587372068705743
01728d23850d9be83653aa92595ad2a4308e6c5833cc21745df1edb09b7f57a4799a58cb5c86ce3cde63d1c20f33a743f8c7591fabf921f6c62138c813d4d79f,2023-12-27T19:15:00.000,41.899602111,-87.633308037,4.456634852681111
01728d23850d9be83653aa92595ad2a4308e6c5833cc21745df1edb09b7f57a4799a58cb5c86ce3cde63d1c20f33a743f8c7591fabf921f6c62138c813d4d79f,2023-12-29T14:00:00.000,41.706587882,-87.623366512,4.570555617963797
01728d23850d9be83653aa92595ad2a4308e6c5833cc21745df1edb09b7f57a4799a58cb5c86ce3cde63d1c20f33a743f8c7591fabf921f6c62138c813d4d79f,2023-12-31T10:00:00.000,41.859349715,-87.617358006,4.395093641342178
01804877ebce33c3c9c643fbc35af02303898cdc1830d4ab824480cf7eb4b49b4444f44e62b4dba9aaf6a91c79a4ecd0ab305719569523bf0c8483325f1531a2,2023-12-29T11:30:00.000,41.857183858,-87.620334624,4.423966860766849
018e2fc4d3e35a1f76f3221f8ecf824591aea4e6e7e05fb330b4a5f29349c5ad53a1906a0ba96738df71c18d9ca8f54bd2aa49527b16644296b4c344d00aec47,2023-12-26T07:45:00.000,41.879255084,-87.642648998,4.376699610044118
018e2fc4d3e35a1f76f3221f8ecf824591aea4e6e7e05fb330b4a5f29349c5ad53a1906a0ba96738df71c18d9ca8f54bd2aa49527b16644296b4c344d00aec47,2023-12-30T21:15:00.000,41.980264315,-87.913624596,4.745395447379752
019ae1913a19db4e7f5d4fd12f8337d3ad6919b9260b5102bfb47dd9efe40f0faec6dbeabdbb8edf48451762373c8394219a110ef89ac4706ac662d2beca94fc,2023-12-30T10:15:00.000,41.97907082,-87.903039661,4.3778027002660584
01c86849c3f7217277938ad1e7a86f43dd4b9316d7c0c85a0e917587c710647619aeef84fa3624b166dafb97dda9ed16100fb44bac141fee003d58d4de7c09a3,2023-12-25T11:45:00.000,41.899602111,-87.633308037,4.676136981422904
01c86849c3f7217277938ad1e7a86f43dd4b9316d7c0c85a0e917587c710647619aeef84fa3624b166dafb97dda9ed16100fb44bac141fee003d58d4de7c09a3,2023-12-28T15:45:00.000,41.880994471,-87.632746489,4.73338718172999
02ef8f01232b1b1828f4e5e1b8e8a85cd71b67c449afafbd2dd7ab726b2bb72795fcd00a9bb2477dfa6f8a325bbfde41ae888127ecd354096a1117f5e6fd9e0d,2023-12-23T23:30:00.000,41.763246799,-87.616134111,4.403196767718903
02ef8f01232b1b1828f4e5e1b8e8a85cd71b67c449afafbd2dd7ab726b2bb72795fcd00a9bb2477dfa6f8a325bbfde41ae888127ecd354096a1117f5e6fd9e0d,2023-12-25T23:00:00.000,41.80908443,-87.632424524,4.743206310633732
02ef8f01232b1b1828f4e5e1b8e8a85cd71b67c449afafbd2dd7ab726b2bb72795fcd00a9bb2477dfa6f8a325bbfde41ae888127ecd354096a1117f5e6fd9e0d,2023-12-27T21:15:00.000,41.763246799,-87.616134111,4.674938732847442
02ef8f01232b1b1828f4e5e1b8e8a85cd71b67c449afafbd2dd7ab726b2bb72795fcd00a9bb2477dfa6f8a325bbfde41ae888127ecd354096a1117f5e6fd9e0d,2023-12-29T01:15:00.000,42.001571027,-87.695012589,4.580240277053033
